Date, Open, High, Low, Close, Volume
2007-01-03,9.11,9.11,9.11,9.11,10331.999400744
2007-01-04,9.22,9.3,9.22,9.24,10331.999400744
2007-01-08,8.92,8.92,8.89,8.89,22049.9987211001
2007-01-09,8.89,9.0,8.89,8.92,14399.9991648
2007-01-10,8.89,8.94,8.89,8.9,26099.9984862001
2007-01-11,8.8,8.89,8.78,8.81,23849.9986167001
2007-01-15,9.22,9.44,9.11,9.16,161549.9906301
2007-01-16,9.13,9.22,9.06,9.18,59399.9965548002
2007-01-17,9.22,9.44,9.14,9.39,123749.9928225
2007-01-18,9.39,9.39,9.24,9.29,47699.9972334001
2007-01-22,9.44,9.44,9.22,9.34,76049.9955891002
2007-01-23,9.33,9.56,9.19,9.47,65699.9961894002
2007-01-24,9.56,9.89,9.56,9.77,89099.9948322002
2007-01-25,9.46,9.54,9.38,9.46,26549.9984601001
2007-01-29,9.42,9.5,9.36,9.41,119249.9930835
2007-01-31,9.22,9.5,9.22,9.4,57149.9966853002
2007-02-01,9.44,9.44,9.33,9.33,140849.9918307
2007-02-05,9.33,9.44,9.28,9.34,39149.9977293001
2007-02-06,9.23,9.28,9.23,9.23,71099.9958762002
2007-02-07,9.29,9.29,9.11,9.12,95399.9944668002
2007-02-08,9.53,9.53,8.69,9.0,16199.9990604
2007-02-12,8.92,9.17,8.92,9.06,13499.999217
2007-02-13,8.89,9.11,8.89,8.9,79199.9954064002
2007-02-14,9.0,9.0,8.9,8.93,10331.999400744
2007-02-15,9.0,9.13,9.0,9.0,37349.9978337001
2007-02-19,8.79,9.22,8.79,8.96,10331.999400744
2007-02-20,8.96,9.56,8.96,9.41,64799.9962416002
2007-02-22,9.22,10.32,9.22,10.03,237149.986245301
2007-02-26,9.67,9.67,9.22,9.31,32849.9980947001
2007-02-27,9.33,9.44,9.24,9.33,44549.9974161001
2007-02-28,9.33,9.44,9.26,9.32,36449.9978859001
2007-03-01,9.22,9.33,9.22,9.29,19349.9988777
2007-03-05,8.89,9.17,8.89,8.92,45899.9973378001
2007-03-06,9.1,9.12,8.89,8.98,13949.9991909
2007-03-07,9.11,9.21,9.04,9.12,14849.9991387
2007-03-08,9.11,9.22,8.94,9.03,33749.9980425001
2007-03-12,9.11,9.11,8.9,8.99,13499.999217
2007-03-13,9.18,9.32,8.94,9.21,49049.9971551001
2007-03-14,9.07,9.07,9.06,9.06,10331.999400744
2007-03-15,9.02,9.11,9.0,9.02,20699.9987994
2007-03-19,9.21,9.33,9.17,9.2,161549.9906301
2007-03-20,9.32,10.09,9.32,9.59,265949.984574901
2007-03-21,9.48,9.78,9.47,9.58,98099.9943102002
2007-03-22,9.46,9.48,9.3,9.34,29249.9983035001
2007-03-27,9.33,9.33,9.2,9.24,71999.9958240002
2007-03-28,9.17,9.22,9.11,9.14,47699.9972334001
2007-03-29,9.17,9.18,9.09,9.09,44549.9974161001
2007-04-02,9.13,9.13,8.94,9.07,29249.9983035001
2007-04-03,8.96,9.13,8.94,8.98,30149.9982513001
2007-04-04,9.11,9.11,8.89,8.91,49049.9971551001
2007-04-05,8.92,8.92,8.92,8.92,10331.999400744
2007-04-09,8.89,8.9,8.84,8.88,28349.9983557001
2007-04-10,8.89,8.9,8.77,8.79,69749.9959545002
2007-04-11,8.88,8.89,8.78,8.83,14399.9991648
2007-04-12,8.78,8.8,8.67,8.69,43199.9974944001
2007-04-16,8.39,8.39,8.39,8.39,10331.999400744
2007-04-17,8.46,8.46,7.73,7.97,149849.9913087
2007-04-18,8.0,8.0,7.83,7.87,75599.9956152002
2007-04-19,7.79,7.99,7.68,7.88,62099.9963982002
2007-04-23,7.78,8.27,7.77,8.07,175049.9898471
2007-04-24,8.08,8.33,8.06,8.11,144449.9916219
2007-04-25,8.28,8.44,8.22,8.42,140399.9918568
2007-04-26,8.39,8.39,8.28,8.32,25649.9985123001
2007-04-30,8.29,8.29,8.21,8.22,27449.9984079001
2007-05-03,8.53,8.54,8.22,8.29,39149.9977293001
2007-05-14,8.22,8.22,8.0,8.02,37349.9978337001
2007-05-15,8.02,8.17,8.01,8.14,43199.9974944001
2007-05-16,8.01,8.26,8.01,8.17,52199.9969724001
2007-05-17,8.12,8.22,8.12,8.18,47249.9972595001
2007-05-21,8.33,8.52,8.26,8.33,39599.9977032001
2007-05-22,8.28,8.33,8.22,8.26,48599.9971812001
2007-05-23,8.33,8.33,8.16,8.22,41399.9975988001
2007-05-24,8.23,8.23,8.14,8.18,57149.9966853002
2007-05-28,8.09,8.09,8.01,8.03,19799.9988516
2007-05-29,8.02,8.1,7.89,7.97,30599.9982252001
2007-05-30,7.94,7.96,7.91,7.93,21149.9987733001
2007-05-31,7.89,8.22,7.89,8.09,58499.9966070002
2007-06-04,8.44,8.77,8.44,8.47,144899.9915958
2007-06-05,8.74,8.78,8.27,8.29,43199.9974944001
2007-06-06,8.32,8.33,8.27,8.28,66149.9961633002
2007-06-07,8.11,8.22,8.11,8.17,15299.9991126
2007-06-11,8.04,8.2,8.04,8.14,14849.9991387
2007-06-12,8.06,8.11,8.02,8.04,19349.9988777
2007-06-13,8.08,8.11,8.08,8.09,13499.999217
2007-06-14,8.11,8.17,8.11,8.12,13499.999217
2007-06-18,8.02,8.07,8.01,8.03,17099.9990082
2007-06-19,8.22,8.22,8.03,8.18,13949.9991909
2007-06-20,8.11,8.11,8.07,8.1,10331.999400744
2007-06-21,8.11,8.27,8.11,8.22,82349.9952237002
2007-06-25,8.33,8.48,8.31,8.44,116099.9932662
2007-06-26,8.44,8.6,8.39,8.41,50849.9970507001
2007-06-27,8.34,8.34,8.23,8.31,48599.9971812001
2007-06-28,8.42,8.44,8.31,8.36,63899.9962938002
2007-07-02,8.28,8.39,8.18,8.19,70199.9959284002
2007-07-03,8.22,8.27,8.2,8.22,46349.9973117001
2007-07-04,8.2,8.33,8.2,8.29,88199.9948844002
2007-07-05,8.42,8.78,8.36,8.64,99899.9942058002
2007-07-09,8.67,8.67,8.53,8.59,10799.9993736
2007-07-10,8.5,8.5,8.33,8.46,116999.993214
2007-07-11,8.44,8.44,8.4,8.43,44549.9974161001
2007-07-12,8.54,8.6,8.4,8.56,142649.9917263
2007-07-16,8.44,8.56,8.38,8.47,34199.9980164001
2007-07-17,8.44,8.5,8.44,8.46,95399.9944668002
2007-07-18,8.56,8.84,8.5,8.57,307799.982147601
2007-07-19,8.67,10.28,8.67,10.28,380312.977941847
2007-07-23,10.56,11.22,10.34,10.57,367199.978702401
2007-07-24,10.13,10.67,10.13,10.53,219149.987289301
2007-07-25,10.57,10.64,10.56,10.57,189449.9890119
2007-07-26,10.56,10.83,10.56,10.77,289799.983191601
2007-07-30,10.5,10.63,10.39,10.41,275849.984000701
2007-07-31,10.18,10.44,10.18,10.31,137699.9920134
2007-08-01,10.24,10.56,10.23,10.44,49049.9971551001
2007-08-02,10.44,10.5,10.34,10.47,44999.9973900001
2007-08-06,10.41,10.44,10.4,10.41,24299.9985906001
2007-08-07,10.33,10.44,10.33,10.41,31049.9981991001
2007-08-08,10.57,10.58,10.44,10.51,34649.9979903001
2007-08-09,10.36,10.57,10.36,10.51,31949.9981469001
2007-08-13,10.28,10.28,10.18,10.21,57599.9966592002
2007-08-14,10.22,10.33,10.19,10.27,50399.9970768001
2007-08-15,10.43,10.44,10.33,10.36,87749.9949105002
2007-08-16,10.38,10.57,10.37,10.53,59849.9965287002
2007-08-20,10.31,10.47,10.31,10.4,65249.9962155002
2007-08-21,10.44,10.44,10.34,10.36,45449.9973639001
2007-08-22,10.32,10.4,10.29,10.32,88199.9948844002
2007-08-27,11.38,11.38,11.38,11.38,380312.977941847
2007-08-28,11.46,12.44,11.46,11.96,380312.977941847
2007-08-29,12.56,12.67,12.0,12.06,380312.977941847
2007-09-03,12.72,12.8,12.28,12.73,380312.977941847
2007-09-05,12.83,13.36,12.68,13.32,380312.977941847
2007-09-06,13.38,13.9,13.38,13.88,380312.977941847
2007-09-10,13.78,13.88,13.67,13.69,380312.977941847
2007-09-11,14.08,14.08,13.22,13.58,323549.981234101
2007-09-12,13.22,13.78,13.06,13.28,318599.981521201
2007-09-13,13.22,13.33,12.89,13.24,146699.9914914
2007-09-17,12.78,12.78,12.34,12.41,142649.9917263
2007-09-18,12.33,12.44,11.78,12.24,149399.9913348
2007-09-19,12.22,12.44,12.18,12.23,113399.9934228
2007-09-20,12.28,13.22,12.22,13.09,75599.9956152002
2007-09-24,12.94,12.97,12.78,12.87,110699.9935794
2007-09-25,12.89,12.89,12.67,12.69,79649.9953803002
2007-09-26,12.56,12.67,12.46,12.59,64799.9962416002
2007-09-27,12.48,12.66,12.47,12.56,40949.9976249001
2007-10-01,12.0,12.78,12.0,12.44,70199.9959284002
2007-10-02,12.56,13.0,12.56,12.82,146249.9915175
2007-10-03,13.21,13.21,12.5,12.6,117449.9931879
2007-10-04,13.0,13.0,12.62,12.82,108449.9937099
2007-10-08,12.89,13.0,12.68,12.83,171899.9900298
2007-10-09,13.0,13.33,12.89,13.29,380312.977941847
2007-10-16,13.22,13.28,13.04,13.22,245699.985749401
2007-10-17,13.01,13.11,13.0,13.01,113849.9933967
2007-10-18,12.97,13.11,12.9,13.01,137699.9920134
2007-10-22,12.84,13.2,12.69,12.83,85049.9950671002
2007-10-23,12.78,12.89,12.7,12.76,95399.9944668002
2007-10-24,12.67,12.78,12.46,12.51,329849.980868701
2007-10-25,12.61,13.0,12.49,12.54,380312.977941847
2007-10-29,12.78,12.78,12.51,12.56,377999.978076001
2007-10-30,12.67,12.78,12.56,12.7,380312.977941847
2007-10-31,13.0,13.44,12.89,13.3,380312.977941847
2007-11-01,13.33,13.71,13.0,13.33,380312.977941847
2007-11-05,13.33,13.33,12.9,13.07,88199.9948844002
2007-11-06,12.91,13.0,12.89,12.98,182699.9894034
2007-11-08,13.01,13.34,13.01,13.32,380312.977941847
2007-11-12,13.33,13.98,13.29,13.96,380312.977941847
2007-11-13,14.0,15.44,14.0,14.78,380312.977941847
2007-11-14,14.89,15.56,14.41,15.2,380312.977941847
2007-11-15,15.33,15.43,14.84,15.11,380312.977941847
2007-11-19,17.56,18.33,17.54,17.73,380312.977941847
2007-11-20,17.47,17.56,15.22,17.22,380312.977941847
2007-11-21,17.22,17.78,16.13,17.01,380312.977941847
2007-11-22,16.78,16.92,16.22,16.82,380312.977941847
2007-11-26,17.19,18.33,17.19,17.6,380312.977941847
2007-11-27,17.89,17.89,16.59,16.86,380312.977941847
2007-11-28,16.67,17.44,16.61,17.11,380312.977941847
2007-11-29,17.4,17.6,17.17,17.19,380312.977941847
2007-12-03,16.47,16.89,16.06,16.74,380312.977941847
2007-12-04,17.22,17.52,16.68,16.82,380312.977941847
2007-12-05,16.69,16.91,16.56,16.76,380312.977941847
2007-12-06,16.78,17.14,16.67,16.98,275399.984026801
2007-12-10,17.11,17.66,17.06,17.53,380312.977941847
2007-12-11,17.76,17.76,17.22,17.26,380312.977941847
2007-12-12,17.22,17.22,16.78,16.92,380312.977941847
2007-12-13,17.11,17.11,16.88,16.91,374849.978258701
2007-12-17,17.0,17.01,16.83,16.84,362249.978989501
2007-12-18,16.86,17.02,16.71,16.89,380312.977941847
2007-12-19,16.99,17.04,16.83,16.88,380312.977941847
2007-12-26,16.61,17.0,16.61,16.74,309599.982043201
2007-12-27,16.69,16.76,16.44,16.56,283049.983583101
2008-01-01,16.09,16.09,16.09,16.09,310949.981964901
2008-01-02,16.01,16.01,15.44,15.56,339749.980294501
2008-01-03,15.28,16.0,15.28,15.69,299249.982643501
2008-01-07,15.61,15.68,15.22,15.24,98099.9943102002
2008-01-08,15.13,15.67,15.13,15.42,150749.9912565
2008-01-09,15.77,15.97,15.61,15.91,269099.984392201
2008-01-10,16.17,16.22,15.56,15.6,380312.977941847
2008-01-14,15.51,15.77,15.44,15.56,140849.9918307
2008-01-15,15.56,15.56,15.42,15.44,210149.987811301
2008-01-16,15.44,15.54,15.34,15.38,152099.9911782
2008-01-17,15.38,15.38,15.06,15.14,332999.980686001
2008-01-21,15.04,15.11,14.56,14.81,284399.983504801
2008-01-22,14.69,15.0,14.69,14.79,95849.9944407002
2008-01-23,14.67,14.68,14.29,14.33,247949.985618901
2008-01-24,14.84,14.88,14.39,14.44,158399.9908128
2008-01-28,14.21,14.22,13.89,14.09,162899.9905518
2008-01-29,14.0,14.11,13.91,13.93,250649.985462301
2008-01-30,13.9,13.9,13.41,13.63,219599.987263201
2008-01-31,14.44,14.89,14.22,14.73,347849.979824701
2008-02-04,15.0,15.22,14.78,14.81,380312.977941847
2008-02-05,15.1,15.11,14.54,14.59,335249.980555501
2008-02-06,14.89,14.89,14.46,14.63,274049.984105101
2008-02-07,14.67,15.11,14.56,14.84,374399.978284801
2008-02-11,14.51,14.78,14.46,14.48,211049.987759101
2008-02-12,14.46,14.56,14.44,14.44,137699.9920134
2008-02-13,14.44,14.5,14.29,14.32,187199.9891424
2008-02-14,14.36,14.36,14.22,14.31,163799.9904996
2008-02-18,14.11,14.22,13.82,13.92,234899.986375801
2008-02-19,13.8,13.87,13.67,13.77,261899.984809801
2008-02-20,13.78,14.11,13.78,13.89,169649.9901603
2008-02-25,13.58,13.77,13.36,13.51,166499.990343
2008-02-26,13.67,13.78,13.58,13.6,91799.9946756002
2008-02-27,14.11,15.11,13.89,14.77,380312.977941847
2008-02-28,14.89,15.11,14.48,14.69,380312.977941847
2008-03-03,14.29,14.42,14.2,14.21,252899.985331801
2008-03-04,14.28,14.67,14.28,14.43,376199.978180401
2008-03-05,14.56,14.86,14.44,14.59,380312.977941847
2008-03-06,14.59,14.89,14.56,14.68,380312.977941847
2008-03-10,14.66,14.67,14.46,14.49,380312.977941847
2008-03-11,14.46,15.0,14.38,14.67,380312.977941847
2008-03-12,14.67,14.87,14.59,14.62,380312.977941847
2008-03-13,14.64,14.77,14.47,14.49,380312.977941847
2008-03-17,15.1,15.99,15.1,15.41,380312.977941847
2008-03-18,15.54,15.78,15.01,15.19,380312.977941847
2008-03-19,15.11,15.44,15.11,15.23,380312.977941847
2008-03-20,15.44,16.11,15.38,15.54,380312.977941847
2008-03-24,16.0,16.71,15.72,16.39,380312.977941847
2008-03-25,16.61,17.21,16.57,16.98,380312.977941847
2008-03-31,16.33,16.33,15.52,15.58,380312.977941847
2008-04-01,15.56,16.0,15.56,15.86,380312.977941847
2008-04-02,16.18,16.21,15.78,15.8,380312.977941847
2008-04-03,15.83,15.89,15.67,15.7,380312.977941847
2008-04-07,15.44,15.81,15.44,15.64,380312.977941847
2008-04-08,15.67,15.98,15.58,15.67,380312.977941847
2008-04-09,15.89,16.22,15.88,15.96,380312.977941847
2008-04-10,16.11,16.22,15.89,16.02,380312.977941847
2008-04-15,16.61,16.61,16.23,16.3,380312.977941847
2008-04-16,16.44,16.56,16.22,16.33,380312.977941847
2008-04-17,16.44,17.67,16.23,16.49,380312.977941847
2008-04-21,16.06,16.39,15.74,16.22,380312.977941847
2008-04-22,16.38,16.78,16.24,16.42,380312.977941847
2008-04-23,16.66,17.12,16.44,16.84,380312.977941847
2008-04-24,16.78,19.54,16.78,18.91,380312.977941847
2008-04-28,18.89,20.0,18.72,18.83,380312.977941847
2008-04-29,18.89,19.24,18.11,18.22,380312.977941847
2008-04-30,18.44,18.66,17.79,17.99,380312.977941847
2008-05-12,17.11,17.78,17.11,17.4,380312.977941847
2008-05-13,17.66,17.66,16.91,16.98,380312.977941847
2008-05-14,17.22,17.33,16.56,16.67,380312.977941847
2008-05-15,16.78,16.99,16.22,16.44,380312.977941847
